Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Plate (facing page 70) from Allo! Paris!,Robert Delaunay,1479,"(French, 1885–1941)",(French),(1885),(1941),(Male),1926,One from an illustrated book with twenty lithographs,"composition (irreg.): 7 × 8 3/8"" (17.8 × 21.2 cm); page (approx.): 10 7/8 × 8 7/8"" (27.7 × 22.5 cm)",The Louis E. Stern Collection,778.1964.12,Illustrated Book,Drawings & Prints,1964-10-06,Y,23705,http://www.moma.org/collection/works/23705,,,,,17.8,,,21.2,,
"Denkmal 11, Museum of Modern Art, 11 West 53 Street, New York, 2008, Module CVI",Jan De Cock,33908,"(Belgian, born 1976)",(Belgian),(1976),(0),(Male),2008,Chromogenic color print,"33 7/16 × 23 5/8"" (85 × 60 cm)",Gift of the artist,371.2008,Photograph,Photography,2008-05-15,Y,112824,http://www.moma.org/collection/works/112824,http://www.moma.org/media/W1siZiIsIjEyNjAxNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5d53c276cd784b25,,,,85.0,,,60.0,,
Study for The Metternich Paintings,Chryssa,1118,"(American, born Greece. 1933–2013)",(American),(1933),(2013),(Female),(1969-73),Pencil and synthetic polymer paint on colored paper-surfaced cardboard,"18 7/8 x 25 5/8"" (47.9 x 65.1 cm)",Gift of Norman Alexander,487.1977,Drawing,Drawings & Prints,1977-11-02,Y,37137,http://www.moma.org/collection/works/37137,http://www.moma.org/media/W1siZiIsIjM4ODkwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f0913f5d62293a37,,,,47.9,,,65.1,,
Untitled from the Museum in Progress project Global Positions,Alexander and Susan Maris,30985,,(),(0),(0),(),"(newspaper published December 18/19, 2009)","Lithograph, offset printed","sheet (each): 18 1/2 x 12 3/8"" (47 x 31.5 cm)",Linda Barth Goldstein Fund,514.2006.177,Print,Drawings & Prints,2006-06-01,N,103666,,,,,,47.0,,,31.5,,
Mix Lamp,"Alberto Meda, Paolo Rizzatto","7277, 7592","(Italian, born 1945) (Italian, born 1941)",(Italian) (Italian),(1945) (1941),(0) (0),(Male) (Male),2005,Aluminum and methacrylate,"15 5/16 x 27 1/4 x 4 3/16"" (38.9 x 69.2 x 10.7 cm)",Gift of the manufacturer,82.2009,Design,Architecture & Design,2009-01-14,Y,120050,http://www.moma.org/collection/works/120050,http://www.moma.org/media/W1siZiIsIjE2MTkxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d712c95d28e16b5e,,10.7,,38.9,,,69.2,,
Number Four,Esteban Vicente,6147,"(American, born Spain. 1903–2001)",(American),(1903),(2001),(Male),1956,Oil on canvas,"52 3/8 x 64 1/8"" (132.8 x 162.7 cm)",Gift of Mrs. Esteban Vicente,505.1969,Painting,Painting & Sculpture,1969-06-10,Y,79859,http://www.moma.org/collection/works/79859,http://www.moma.org/media/W1siZiIsIjIwOTAyNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9c88eee066590602,,,,132.8,,,162.7,,
"150,000,000. Poema",Nikolai Denisovskii,24094,,(),(0),(0),(Male),1937,,Page: 8 3/16 x 5 11/16'' (20.8 x 14.4 cm) (each),Gift of The Judith Rothschild Foundation (Boris Kerdimun Archive),1107.2001,Illustrated Book,Drawings & Prints,2001-01-24,N,31877,,,,,,20.8,,,14.4,,
Untitled,Asger Jorn,2943,"(Danish, 1914–1973)",(Danish),(1914),(1973),(Male),(1940),Etching,,Gift of the artist,45.1947,Print,Drawings & Prints,1947-03-13,Y,60821,http://www.moma.org/collection/works/60821,http://www.moma.org/media/W1siZiIsIjE2Njg5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6d8197e0a180c773,,,,,,,,,
"Untitled (1), state I of III",Jackson Pollock,4675,"(American, 1912–1956)",(American),(1912),(1956),(Male),1944,Engraving,"plate: 11 7/8 x 9 13/16"" (30.2 x 24.9 cm); sheet: 18 7/8 x 12 1/4"" (48 x 31.1 cm)",Gift of Lee Krasner Pollock,1170.1969,Print,Drawings & Prints,1970-03-05,Y,75902,http://www.moma.org/collection/works/75902,http://www.moma.org/media/W1siZiIsIjIyNDQxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4dc1bb52f7e58093,,,,30.2,,,24.9,,
"Opening, Frank Stella Exhibition, The Museum of Modern Art, New York. (Rauschenberg in checked suit)",Garry Winogrand,6399,"(American, 1928–1984)",(American),(1928),(1984),(Male),1970,Gelatin silver print,"10 9/16 × 15 3/4"" (26.8 × 40 cm)",Purchase and gift of Barbara Schwartz in memory of Eugene M. Schwartz,397.1998,Photograph,Photography,1998-06-11,N,52562,,,,,,26.8,,,40.0,,
The Valley of the Shadow of Death,Roger Fenton,1847,"(British, 1819–1869)",(British),(1819),(1869),(Male),"April 23, 1855",Salted paper print from a paper negative,"10 7/16 × 13 15/16"" (26.5 × 35.5 cm)","Gift of CameraWorks, Inc.",28.1994,Photograph,Photography,1994-01-13,Y,44216,http://www.moma.org/collection/works/44216,http://www.moma.org/media/W1siZiIsIjE4NzM2NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1f06d9a4406fbd02,,,,26.5,,,35.5,,
Untitled,Linda White,6341,"(American, born 1945)",(American),(1945),(0),(Female),1973,Gelatin silver print,"8 1/2 × 12 3/4"" (21.6 × 32.3 cm)",Purchase,92.1974,Photograph,Photography,1974-01-29,Y,46100,http://www.moma.org/collection/works/46100,http://www.moma.org/media/W1siZiIsIjE5MzAzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=df7390354118b212,,,,21.6,,,32.3,,
"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh (Site-plan and elevation sketches)",Louis I. Kahn,2964,"(American, born Estonia. 1901–1974)",(American),(1901),(1974),(Male),1963,Charcoal on yellow tracing paper,"17 3/4 x 24 1/2"" (45.1 x 62.2 cm)",Gift of the architect,392.1964,Architecture,Architecture & Design,1964-04-14,Y,502,http://www.moma.org/collection/works/502,http://www.moma.org/media/W1siZiIsIjYwODYiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=ac759de5559f5d64,,,,45.1,,,62.2,,
Tailpiece (folio 17 verso) from 12 FABLES,Antonio Frasconi,1975,"(American, born Uruguay. 1919–2013)",(American),(1919),(2013),(Male),1954,,"irreg. composition  1 11/16 x 4 3/4"" (4.3 x 12 cm)",Gift of Museum Publications,67.1955.16,Illustrated Book,Drawings & Prints,1955-04-06,N,10915,,,,,,4.3,,,12.0,,
Independence/Nakba,Fazal Sheikh,49682,"(American, born 1965)",(American),(1965),(0),(Male),2013,Pigmented inkjet print,"16 × 14"" (40.6 × 35.6 cm)",Acquired through the generosity of Jane P. Watkins,357.2016.30,Photograph,Photography,2016-05-19,N,215902,,,,35.560071120100005,,0.0,,,40.6400812802,,
Blindman's Buff,Clarence H. White,6338,"(American, 1871–1925)",(American),(1871),(1925),(Male),1898,Palladium print,"7 3/4 × 5 7/8"" (19.7 × 14.9 cm)",Purchase,440.1942,Photograph,Photography,1942-12-29,Y,53409,http://www.moma.org/collection/works/53409,http://www.moma.org/media/W1siZiIsIjE5MzI4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=05b12373c1b01e01,,,,19.7,,,14.9,,
Self-Portrait,Robert Mapplethorpe,3745,"(American, 1946–1989)",(American),(1946),(1989),(Male),1980,Gelatin silver print,"13 3/4 × 13 3/4"" (34.9 × 34.9 cm)",The Abramson Collection. Gift of Stephen and Sandra Abramson,464.2015,Photograph,Photography,2015-05-28,Y,192666,http://www.moma.org/collection/works/192666,http://www.moma.org/media/W1siZiIsIjMyNDI4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bc7acd8b87d08780,,,,34.9250698501,,,34.9250698501,,
"Roadside, Indiana",Wright Morris,4109,"(American, 1910–1998)",(American),(1910),(1998),(Male),1947,Gelatin silver print,"7 1/2 × 9 1/2"" (19.0 × 24.2 cm)",Courtesy of the photographer,2607.1967,Photograph,Photography,1967-12-13,N,58918,,,,,,19.0,,,24.2,,
The Popular Songbook no. 6 (El Cancionero Popular num. 6),José-Guadalupe Posada,4707,"(Mexican, 1852–1913)",(Mexican),(1852),(1913),(Male),after 1891,Double-sided broadside with relief print and letterpress,"composition: 10 1/16 x 6 5/16"" (25.5 x 16 cm); sheet: 11 13/16 x 7 7/8"" (30 x 20 cm)",Inter-American Fund,413.1965,Print,Drawings & Prints,1965-05-11,N,68669,,,,,,25.5,,,16.0,,
"Greek Houses, Somerville, Massachusetts",Walker Evans,1777,"(American, 1903–1975)",(American),(1903),(1975),(Male),1932,Gelatin silver print,"4 3/8 × 6 1/4"" (11.2 × 15.9 cm)",Gift of Lincoln Kirstein,80.1933,Photograph,Photography,1933-04-13,Y,45814,http://www.moma.org/collection/works/45814,http://www.moma.org/media/W1siZiIsIjExODg0NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=45038d74eca22e8d,,,,11.2,,,15.9,,
Crucifixion,William Majors,3702,"(American, 1930–1982)",(American),(1930),(1982),(Male),1963,Etching,"plate: 17 7/8 × 22 5/16"" (45.4 × 56.6 cm); sheet: 20 1/16 × 25"" (51 × 63.5 cm)",Vera de Vries Weber Memorial Fund,1156.1964,Print,Drawings & Prints,1964-11-10,Y,75853,http://www.moma.org/collection/works/75853,http://www.moma.org/media/W1siZiIsIjIxNzY0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6fb3d662cfec18df,,,,45.4,,,56.6,,
Vignette (page 30) from PARALLÈLEMENT,Pierre Bonnard,665,"(French, 1867–1947)",(French),(1867),(1947),(Male),1900,,"irreg. composition  2 3/8 x 2 11/16"" (6 x 6.8 cm)",The Louis E. Stern Collection,684.1964.27,Illustrated Book,Drawings & Prints,1964-10-06,N,21309,,,,,,6.0,,,6.8,,
SOUFFLE,Jean (Hans) Arp,11,"(French, born Germany (Alsace). 1886–1966)",(French),(1886),(1966),(Male),1950.  (Print executed 1918).,"1 woodcut, printed in black","irreg. composition  2 3/16 x 3 3/4"" (5.5 x 9.5 cm)
page  5 9/16 x 4 3/16"" (14 x 10.6 cm)",Curt Valentin Bequest,32.1956,Illustrated Book,Drawings & Prints,1956-03-19,N,10383,,,,,,5.5,,,9.5,,
"Andersonville, Georgia",William Eggleston,1690,"(American, born 1939)",(American),(1939),(0),(Male),1976,Chromogenic color print,"15 × 10 1/4"" (38.2 × 26 cm)","Partial gift of Shirley C. Burden, by exchange",217.1986.72,Photograph,Photography,1986-05-22,Y,48767,http://www.moma.org/collection/works/48767,http://www.moma.org/media/W1siZiIsIjM3NjE2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=cbce08cb29067c07,,,,38.2,,,26.0,,
Man in a Top Hat I (Mann im Zylinder I),Emil Nolde,4327,"(German, 1867–1956)",(German),(1867),(1956),(Male),(1911),Lithograph,"composition (irreg.): 25 3/8 x 18 7/8"" (64.5 x 48 cm); sheet: 28 1/16 x 21 15/16"" (71.3 x 55.8 cm)",Gift of Mrs. Donald B. Straus,118.1956,Print,Drawings & Prints,1956-03-19,Y,62132,http://www.moma.org/collection/works/62132,http://www.moma.org/media/W1siZiIsIjExNDgxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d4db631ed377bcfe,,,,64.5,,,48.0,,
Poems,André Masson,3821,"(French, 1896–1987)",(French),(1896),(1987),(Male),1974,Illustrated book with two etching and aquatints,"page  12 3/4 x 8 7/8"" (32 x 22.5 cm)
Prints: various dimensions.",Monroe Wheeler Fund,294.1975.1-2,Illustrated Book,Drawings & Prints,1975-10-07,Y,14731,http://www.moma.org/collection/works/14731,,,,,32.0,,,22.5,,
Broken Land I,Clinton Adams,62,"(American, 1918–2002)",(American),(1918),(2002),(Male),(December 6) 1960,Lithograph,"composition (slightly irreg.): 7 5/8 x 10 1/8"" (19.3 x 25.7 cm); sheet: 11 3/16 x 15 1/16"" (28.4 x 38.2 cm)","Gift of Kleiner, Bell & Co.",672.1967,Print,Drawings & Prints,1967-12-13,Y,72967,http://www.moma.org/collection/works/72967,http://www.moma.org/media/W1siZiIsIjI3NjU2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b019e6b6d981e574,,,,19.3,,,25.7,,
Parkett no. 25,James Turrell,5981,"(American, born 1943)",(American),(1943),(0),(Male),1990,Journal (trade edition),"composition  7 3/8 x 5 3/4"" (18.8 x 14.7 cm)
plate  7 3/8 x 5 3/4"" (18.8 x 14.7 cm)
sheet  10 x 16 1/8"" (25 x 41 cm)","Riva Castleman Endowment Fund, Lily Auchincloss Fund, and Gift of Parkett",132.1998.5,Print,Drawings & Prints,1998-03-05,Y,126742,http://www.moma.org/collection/works/126742,,,,,18.8,,,14.7,,
Toi et moi,Édouard Vuillard,6194,"(French, 1868–1940)",(French),(1868),(1940),(Male),1918,Illustrated book with two collotype reproductions,"Page (very irreg.):  7 5/8-8 1/8 x 5 7/8"" (19.4-20.7 x 15.0 cm)",The Louis E. Stern Collection,1089.1964,Illustrated Book,Drawings & Prints,1964-10-06,N,31451,,,,0.0,,20.6375412751,,,14.9225298451,,
Bathers,Abraham Walkowitz,6223,"(American, born Russia. 1878–1965)",(American),(1878),(1965),(Male),1940,Lithograph,"Comp. 12 1/2 x 13 3/4"" (31.7 x 35.0 cm) Sheet 15 1/8 x 19"" (38.0 x 48.4 cm)",Gift of Abby Aldrich Rockefeller,1429.1940,Print,Drawings & Prints,1940-04-05,N,76771,,,,,,31.7,,,35.0,,
Untitled Film Still #23,Cindy Sherman,5392,"(American, born 1954)",(American),(1954),(0),(Female),1978,Gelatin silver print,"7 1/2 × 9 7/16"" (19.1 × 24 cm)",Purchase,832.1995,Photograph,Photography,1995-12-14,Y,56631,http://www.moma.org/collection/works/56631,http://www.moma.org/media/W1siZiIsIjQ1MDEyMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d521c60c421f1736,,,,19.1,,,24.0,,
Caribbean Tea Time,David Hockney,2678,"(British, born 1937)",(British),(1937),(0),(Male),1987,"Lithograph, screenprint, collage, and stencil on folding screen","overall (approx.): 84 5/8 × 134 1/2"" (214.9 × 341.6 cm)",Gift of John Wagner,457.1988,Print,Drawings & Prints,1989-01-18,N,69421,,,,0.0,,214.9,,,341.6,,
"Fort Lauderdale, Florida, March 8, 1978",Stephen Shore,5409,"(American, born 1947)",(American),(1947),(0),(Male),1978,Chromogenic color print,"7 11/16 × 9 11/16"" (19.5 × 24.6 cm)","Acquired with matching funds from Blanchette Hooker Rockefeller and the National Endowment for the Arts, 1978",690.1978,Photograph,Photography,1978-10-12,Y,56083,http://www.moma.org/collection/works/56083,http://www.moma.org/media/W1siZiIsIjIxNjcyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=52eee49cbde59930,,,,19.5,,,24.6,,
Untitled from Natural Selections,Marvin Harden,2498,"(American, born 1935)",(American),(1935),(0),(Male),1991,One from a portfolio of eleven aquatint and etchings with chine collé,"plate: 4 7/16 × 2 5/16"" (11.2 × 5.8 cm); sheet: 11 × 7 11/16"" (27.9 × 19.6 cm)",Gift of Jacob and Yael Samuel in honor of Marva Munson,1658.2015.4,Print,Drawings & Prints,2015-10-27,Y,199651,http://www.moma.org/collection/works/199651,http://www.moma.org/media/W1siZiIsIjM0MzM0MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=cae3f7218567da38,,,,11.2,,,5.8,,
Paper Glider,Milan Knížák,29427,"(Czech, born 1940)",(Czech),(1940),(0),(Male),c. 1966,Stamped ink on folded paper,"6 3/8 × 8 5/16"" (16.2 × 21.1 cm)",The Gilbert and Lila Silverman Fluxus Collection Gift,3559.2008.3,Drawing,Drawings & Prints,2008-10-08,Y,195296,http://www.moma.org/collection/works/195296,http://www.moma.org/media/W1siZiIsIjMyMzgwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c78805cbe3e80b36,,0.0,,16.2,,,21.1,,
Untitled,Jerry Uelsmann,6001,"(American, born 1934)",(American),(1934),(0),(Male),1973,Gelatin silver print,"12 1/2 × 9 15/16"" (31.8 × 25.3 cm)",John Parkinson III Fund,409.1974,Photograph,Photography,1974-10-01,Y,52855,http://www.moma.org/collection/works/52855,http://www.moma.org/media/W1siZiIsIjI1NzE1NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c557ae97ee708bd8,,,,31.8,,,25.3,,
No Title (They enter the),Raymond Pettibon,7500,"(American, born 1957)",(American),(1957),(0),(Male),2003,"Synthetic polymer paint, ink, watercolor, pencil, and colored pencil on paper","30 1/2 x 22 3/4"" (77.5 x 57.8 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,2738.2005,Drawing,Drawings & Prints,2005-05-10,Y,97024,http://www.moma.org/collection/works/97024,http://www.moma.org/media/W1siZiIsIjEyOTkwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f9f2a5262c96a3de,,,,77.4702,,,57.7851,,
The Breaking of the Marble,"Italo Scanga, Harry Shunk, János Kender","5194, 8247, 38024","(American, 1932–2001) (German, 1924–2006) (Hungarian, 1937–2009)",(American) (French) (Hungarian),(1932) (1924) (1937),(2001) (2006) (2009),(Male) (Male) (Male),1971,Gelatin silver print,"6 5/8 × 9 11/16"" (16.9 × 24.6 cm)",Gift of the Roy Lichtenstein Foundation in honor of Jennifer Winkworth and Kynaston McShine and in memory of Harry Shunk and János Kender,1018.2013.343,Photograph,Photography,2013-10-24,Y,176252,http://www.moma.org/collection/works/176252,http://www.moma.org/media/W1siZiIsIjI5MjU2MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c833cc6837e2e3fb,,0.0,,17.7800355601,,,25.4000508001,,
"Two nine-foot firs showing the stumps from which they were felled; bucker with saw, axe, etc. appearing on the scene",Darius Kinsey,3110,"(American, 1869–1945)",(American),(1869),(1945),(Male),1909,Gelatin silver print,"10 1/4 × 13 3/8"" (26 × 33.9 cm)",Anonymous gift,1586.2001,Photograph,Photography,2001-06-14,N,82497,,,,,,26.0,,,33.9,,
ONLY SOUND REMAINS,Luisa Zuloaga de Palacios,4471,"(Venezuelan, 1923–1990)",(Venezuelan),(1923),(1990),(Female),1963,Etching,"plate: 11 15/16 × 9 5/8"" (30.3 × 24.5 cm); sheet: 19 3/4 × 12 7/8"" (50.1 × 32.7 cm)",Gift of the artist,195.1965,Print,Drawings & Prints,1965-04-06,N,64174,,,,,,30.3,,,24.5,,
Christ on the Mount of Olives (Christus am Ölberg) from the series The Passion (Die Passion),Oskar Kokoschka,3197,"(Austrian, 1886–1980)",(Austrian),(1886),(1980),(Male),(1916),Lithograph,"composition: 11 1/4 x 12 5/8"" (28.5 x 32 cm); sheet: 14 1/16 x 15 9/16"" (35.7 x 39.5 cm)",Purchase,658.1956,Print,Drawings & Prints,1956-12-19,Y,72714,http://www.moma.org/collection/works/72714,http://www.moma.org/media/W1siZiIsIjEyMTk1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fca894610623e468,,,,28.5,,,32.0,,
"HIGH VALLEY (in-text plate, page 7) from LE FLEUVE",Édouard Manet,3721,"(French, 1832–1883)",(French),(1832),(1883),(Male),1874,"Etching and aquatint, printed in black","plate  3 3/4 x 4 5/8"" (9.5 x 11.7 cm)",The Louis E. Stern Collection,909.1964.3,Illustrated Book,Drawings & Prints,1964-10-06,N,27987,,,,,,9.5,,,11.7,,
Quisiera hacer una estatua (I would like to make a statue),León Ferrari,1859,"(Argentine, 1920–2013)",(Argentine),(1920),(2013),(Male),c. 1964,Ink on paper,"39 1/4 x 27 7/8"" (99.7 x 70.8 cm)","Gift of Patricia Phelps de Cisneros through the Latin American and Caribbean Fund in honor of Connie Butler 
",268.2009,Drawing,Drawings & Prints,2009-02-10,Y,116528,http://www.moma.org/collection/works/116528,http://www.moma.org/media/W1siZiIsIjE0NjE2NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=73528504805eec40,,,,99.6951993904,,,70.8026416053,,
Annunciation (III.) (Verkündigung (Ill.)) from 16 Woodcuts (16 Holzschnitte),Walter Helbig,2582,"(German, 1878–1968)",(German),(1878),(1968),(Male),"1917, published 1926","Woodcut from a portfolio with sixteen woodcuts, one woodcut title page, one woodcut table of contents, one woodcut cover and one woodcut colophon","composition (irreg.): 7 11/16 x 10 3/16"" (19.5 x 25.8 cm); sheet: 12 13/16 x 17 15/16"" (32.5 x 45.5 cm)",Gift of Mrs. Heinz Schultz,428.1961.8,Print,Drawings & Prints,1961-12-13,Y,110332,http://www.moma.org/collection/works/110332,http://www.moma.org/media/W1siZiIsIjEyMDkyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=930a1b071f81ebd6,,,,19.5,,,25.8,,
Attaché Case,"Alison Knowles, George Brecht, Robert Watts","36471, 756, 6269","(American, born 1933) (American, 1926–2008) (American, 1923–1988)",(American) (American) (American),(1933) (1926) (1923),(0) (2008) (1988),(Female) (Male) (Male),1963,Vinyl-covered attaché case with screenprint,"12 5/8 x 16 15/16 x 3 3/4"" (32 x 43 x 9.5 cm)",The Gilbert and Lila Silverman Fluxus Collection Gift,3926.2008,Multiple,Drawings & Prints,2008-10-08,Y,135491,http://www.moma.org/collection/works/135491,http://www.moma.org/media/W1siZiIsIjQyNDY3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7d7e6b59a67bd72e,,9.5,,32.0,,,43.0,,
Portrait of Jackson Mac Low as Edward Eggleston,George Maciunas,21398,"(American, born Lithuania. 1931–1978)",(American),(1931),(1978),(Male),1961,Gelatin silver print,"image: 18 1/2 x 18 13/16"" (47 x 47.8 cm); sheet: 23 7/8 x 19 7/8"" (60.6 x 50.5 cm)",The Gilbert and Lila Silverman Fluxus Collection Gift,2566.2008,Photograph,Drawings & Prints,2008-10-08,Y,128276,http://www.moma.org/collection/works/128276,http://www.moma.org/media/W1siZiIsIjI1NjIwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=72f81ad7341747fd,,,,47.0,,,47.8,,
Mt Grazian in Maritime Alps near Emonaco Tunnel France & Italy by Tunnel.,Joseph E. Yoakum,26683,"(American, 1890–1972)",(American),(1890),(1972),(Male),"c. late 1960s, stamped 1958","Colored pencil, felt-tip pen, and ink on paper","12 x 19"" (30.5 x 48.3 cm)","Gift of the Raymond K. Yoshida Living Trust and Kohler Foundation, Inc.",1174.2011,Drawing,Drawings & Prints,2012-02-14,Y,148100,http://www.moma.org/collection/works/148100,http://www.moma.org/media/W1siZiIsIjQ0ODg2MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4cbc89d18344a5e8,,,,30.4800609601,,,48.2600965202,,
Untitled,William Eggleston,1690,"(American, born 1939)",(American),(1939),(0),(Male),1970-71,Dye transfer print,"11 1/8 × 17 1/2"" (28.1 × 44.4 cm)",Gift of Caldecot Chubb,218.1986.3,Photograph,Photography,1986-05-22,N,48841,,,,,,28.1,,,44.4,,
Three Parts,Susan Rothenberg,5044,"(American, 1945–2020)",(American),(1945),(2020),(Female),1987-88,Mezzotint with chine collé,"composition: 17 11/16 x 8 1/16"" (45 x 20.4 cm); sheet: 25 9/16 x 20 3/8"" (65 x 51.7 cm)",Gift of Emily Fisher Landau,372.1988,Print,Drawings & Prints,1988-10-25,Y,67983,http://www.moma.org/collection/works/67983,http://www.moma.org/media/W1siZiIsIjI0MDgzNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=be6d83ff55a0debc,,,,45.0,,,20.4,,
Untitled from Satin Operator,Trisha Donnelly,33913,"(American, born 1974)",(American),(1974),(0),(Female),2007,One from a series of thirteen digital prints,"sheet: 62 1/2 x 44"" (158.8 x 111.8 cm)",The Print Associates Fund and General Print Fund,1004.2011.3,Print,Drawings & Prints,2011-10-06,Y,156890,http://www.moma.org/collection/works/156890,http://www.moma.org/media/W1siZiIsIjI0MzY4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1e64a122e38f313a,,,,158.7503175006,,,111.7602235204,,
Lowrider,Luis Jimenez,2914,"(American, 1940–2006)",(American),(1940),(2006),(Male),1981,Lithograph,,Gift of Landfall Press,218.1997,Print,Drawings & Prints,1997-05-28,Y,64613,http://www.moma.org/collection/works/64613,,,,,,,,,,
Three Quart Mixing Bowl (no. 349),Rex A. Stevens,5661,(American),(American),(0),(0),(Male),1931,Stainless steel,"4 x 9 1/8"" (10.2 x 23.2 cm)",Gift of Lewis & Conger,157.1948,Design,Architecture & Design,1948-03-17,Y,2301,http://www.moma.org/collection/works/2301,http://www.moma.org/media/W1siZiIsIjIyODQzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=860be9017f366327,,,23.2,10.2,,,,,
"Lithograph II (plate, page 21) from REPLI",Henri Matisse,3832,"(French, 1869–1954)",(French),(1869),(1954),(Male),1946-1947,"Lithograph, printed in black","irreg. composition  6 1/8 x 3 9/16"" (15.5 x 9.1 cm)",The Louis E. Stern Collection,931.1964.3,Illustrated Book,Drawings & Prints,1964-10-06,N,28517,,,,,,15.5,,,9.1,,
"Duplicate of in-text plate from page 118 (1st supplementary suite, plate 14) from TÊTE D'OR",Roger de La Fresnaye,3325,"(French, 1885–1925)",(French),(1885),(1925),(Male),1911-1950,,"irreg. composition  4 15/16 x 2 5/8"" (12.6 x 6.7 cm)",The Louis E. Stern Collection,870.1964.B14,Illustrated Book,Drawings & Prints,1964-10-06,N,26821,,,,,,12.6,,,6.7,,
